Schoolid	adjacentschool	parkinglotc	parkinglotb	altparking	bikeracks	segments	Walkscore	LICOATda	SamplingQuadrant	sidewalkboth	sidewalkbothperc	sidewalkone	sidewalkoneperc	parkingsignboth	parkingsignbothperc	parkingsignone	parkingsignoneperc	mountableboth	mountablebothperc	mountableone	mountableoneperc	speedlimitsign	speedlimitsignperc	speedlimit40	speedlimit40perc	speedlimit30	speedlimit30perc	marking	markingperc	obstructions	obstructionsperc	dropoffc	dropoffcperc	dropoffb	dropoffbperc	publicspaces	publicspacesperc	graffiti	graffitiperc	garbage	garbageperc	entrance	entranceperc	device	deviceperc	bikeinfra	bikeinfraperc	caroccupant	caroccupantprop	pedcount	pedcountprop	bikecount	bikecountprop	Other	Otherprop	bussed	enrolment	Bussedprop	ActiveT	ActiveTprop	TotalCount	DanBehaCongestion	DanBehaAdultCrossG	DanBehaChildCrossG	DanBehaDrivDoublePark	DanBehaDrivDropOffOppSide	DanBehaDrivBlockView	DanBehaDrivParkBlock	DanBehaDrivNotFollControls	DanBehaDrivBackUp	DanBehaDrivTexting	DanBehaDrivPhone	DanBehaDrivUTurn	DanBehaTruck	DanBehaPedNotFolControlsA	DanBehaPedNotFolControlsC	DanBehaPedNotFolCrossGA	DanBehaPedNotFolCrossGC	DanBehaPedJayWalkA	DanBehaPedJayWalkC	DanBehaPedDeviceA	DanBehaPedDeviceC	DanBehaPedBetParkCarsA	DanBehaPedBetParkCarsC	ActLivClassEnv	CHASEYEAR	City	Newbussedprop	NewActiveT	NewActiveTProp
"TOR943"	0.0	1.0	0.0	0.0	0.0	5.0	74.0	0.273	4.0	0.0	0.4	0.0	0.6	0.0	0.4	0.0	0.4	1.0	0.6	0.0	0.6	1.0	0.6	1.0	0.6	0.0	0.0	0.0	0.4	0.0	0.0	1.0	0.2	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.2	0.0	0.0	61.0	0.305	130.0	0.65	9.0	0.045	0.0	0.0	18.0	239.0	0.07531380753138076	139.0	0.695	200.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2018.0	"TOR"	0.07531380753138076	139.0	0.695
"TOR955"	0.0	1.0	1.0	0.0	0.0	3.0	22.0	0.076	1.0	0.0	0.3333333333333333	1.0	1.0	1.0	0.6666666666666666	1.0	0.6666666666666666	0.0	0.3333333333333333	1.0	1.0	1.0	1.0	1.0	0.6666666666666666	0.0	0.0	1.0	0.6666666666666666	0.0	0.0	1.0	0.3333333333333333	1.0	0.3333333333333333	1.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	1.0	0.6666666666666666	0.0	0.0	145.0	0.5555555555555556	111.0	0.42528735632183906	4.0	0.01532567049808429	1.0	0.0038314176245210726	1.0	257.0	0.0038910505836575876	115.0	0.44061302681992337	261.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	2.0	2018.0	"TOR"	0.0038910505836575876	116.0	0.4444444444444444
"TOR965"	0.0	1.0	0.0	0.0	0.0	5.0	43.0	0.08800000000000001	1.0	1.0	1.0	1.0	1.0	0.0	0.2	0.0	0.4	0.0	0.0	0.0	0.0	1.0	0.6	1.0	0.6	0.0	0.0	0.0	0.2	1.0	0.2	0.0	0.0	1.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	1.0	1.0	1.0	1.0	38.0	0.6785714285714286	17.0	0.30357142857142855	0.0	0.0	1.0	0.017857142857142856	74.0	121.0	0.6115702479338843	17.0	0.30357142857142855	56.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	2.0	2018.0	"TOR"	0.6115702479338843	18.0	0.32142857142857145
"VAN101"	0.0	1.0	0.0	0.0	1.0	4.0	85.0	0.109	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.5	1.0	0.5	1.0	0.5	1.0	0.75	1.0	0.25	1.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5	1.0	0.75	0.0	0.25	0.0	0.0	63.0	0.3684210526315789	96.0	0.5614035087719298	8.0	0.04678362573099415	4.0	0.023391812865497075	0.0	295.0	0.0	104.0	0.6081871345029239	171.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	4.0	2018.0	"VAN"	0.0	108.0	0.631578947368421
"VAN102"	0.0	1.0	0.0	0.0	1.0	4.0	91.0	0.1	3.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.75	1.0	1.0	1.0	1.0	99.0	0.36	148.0	0.5381818181818182	25.0	0.09090909090909091	3.0	0.01090909090909091	0.0	391.0	0.0	173.0	0.6290909090909091	275.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	4.0	2018.0	"VAN"	0.0	176.0	0.64
"VAN103"	0.0	1.0	0.0	0.0	1.0	4.0	81.0	0.177	4.0	1.0	1.0	1.0	1.0	0.0	0.25	1.0	0.75	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.75	1.0	0.5	1.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.25	1.0	0.5	1.0	1.0	1.0	0.25	70.0	0.2545454545454545	186.0	0.6763636363636364	13.0	0.04727272727272727	6.0	0.02181818181818182	0.0	444.0	0.0	199.0	0.7236363636363636	275.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	4.0	2018.0	"VAN"	0.0	205.0	0.7454545454545455
"VAN105"	0.0	0.0	0.0	0.0	1.0	4.0	65.0	0.16399999999999998	2.0	0.0	0.75	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.5	1.0	1.0	1.0	1.0	1.0	1.0	89.0	0.4258373205741627	113.0	0.5406698564593302	3.0	0.014354066985645933	4.0	0.019138755980861243	0.0	344.0	0.0	116.0	0.5550239234449761	209.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	4.0	2018.0	"VAN"	0.0	120.0	0.5741626794258373
"VAN106"	0.0	1.0	0.0	0.0	0.0	5.0	66.0	0.154	2.0	0.0	0.6	0.0	0.8	0.0	0.2	1.0	0.8	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.4	0.0	0.4	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.8	1.0	0.8	1.0	1.0	1.0	1.0	77.0	0.308	168.0	0.672	0.0	0.0	5.0	0.02	0.0	433.0	0.0	168.0	0.672	250.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	2018.0	"VAN"	0.0	173.0	0.692
"VAN107"	0.0	1.0	0.0	0.0	1.0	4.0	82.0	0.28800000000000003	4.0	1.0	1.0	1.0	1.0	0.0	0.25	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.75	1.0	0.75	1.0	0.75	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.5	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.5	0.0	0.0	103.0	0.40077821011673154	154.0	0.5992217898832685	0.0	0.0	0.0	0.0	0.0	449.0	0.0	154.0	0.5992217898832685	257.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	4.0	2018.0	"VAN"	0.0	154.0	0.5992217898832685
"VAN108"	1.0	0.0	0.0	1.0	1.0	2.0	93.0	0.095	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.5	0.0	0.5	1.0	0.5	1.0	0.5	1.0	0.5	1.0	0.5	1.0	0.5	1.0	0.5	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.5	1.0	1.0	1.0	1.0	44.0	0.1527777777777778	205.0	0.7118055555555556	23.0	0.0798611111111111	16.0	0.05555555555555555	0.0	422.0	0.0	228.0	0.7916666666666666	288.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	5.0	2018.0	"VAN"	0.0	244.0	0.8472222222222222
