Schoolid	City	CHASEYEAR	SUMIntersection	NbrTrafSignals	NbrCrossingGuard	NbrSchools	ShapeAreakm	Highwaykm	MinorRoadkm	MajorRoadkm	roadcovkm	SumComkm	SumGouvkm	SumOpenAreakm	SumParkkm	SumReskm	SumIndkm	ISPH1116	OPDbPC60Less	Pop2016	Pop2011	STDMulti	SUMOneway	BikeClass01	BikeClass02	BikeClass03	BikeClassAll	AG112	AG117	AG012	AG017	NbrRaisedCrosswalk	SpeedHumpkm	NbrTrafficCircles	NbrMidBlockNarrowings	NbrCurbExtension	NbrDiverter	NbrCrosswalk	NbrFlashingCrosswalk	NbrSpeedActivatedSign
"PEL64"	"PEL"	2018.0	91.0	13.0	6.0	1.0	3.704232045		20.26194173	7.379329595		5.09024E-6	1.238265846	0.107393367	0.001028175	1.253710934	1.097196279	790.637708	12.08346916	10576.89742	10285.05476	1636.119458	3.443171952	1.795216784	4.518171131	1.831234843	8.144622759	1256.393626	1840.138847	1346.879193	1930.624414	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL65"	"PEL"	2018.0	202.0	23.0	4.0	1.0	6.098060582	0.682427145	38.55863861	20.51230575	59.7533715	0.030029763	0.647939489	1.252504831	0.31904116	3.794108329		494.3543397	111.2412849	16663.64566	16531.06928	1073.625592	16.87463522	3.796980155	18.65005653	1.333956648	23.78099333	1681.393761	2609.375561	1797.332184	2725.313984	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL66"	"PEL"	2018.0	111.0	9.0	3.0	1.0	2.895088929		16.16691928	9.877615325			0.164437678	0.042530718	0.195007017	1.328108219	0.926452219	300.4309118	45.39164715	7711.896825	8015.613064	596.5234528	5.130420879	0.0	10.32118397	0.0	10.32118397	1016.439448	1497.563571	1098.906521	1580.030643	0.0		0.0	0.0	0.0	0.0	1.0	0.0	0.0
"PEL67"	"PEL"	2018.0	66.0	4.0	2.0	1.0	2.062651746	0.517812472	13.04328816	4.28816273	17.84926336		0.022513729	0.001711598	0.033035769	0.894009119	1.111381537	183.4286385	687.7200545	3823.184144	3916.372364	433.2097269	0.816754859	0.0	1.128258871	0.0	1.128258871	470.8350362	670.8799585	494.5872154	694.6321378	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL69"	"PEL"	2018.0	86.0	12.0	3.0	1.0	3.339055031		14.89618037	12.28704088			0.16221042	1.050498414		0.840079002	1.286267378	155.9710282	58.69196169	4897.720253	4940.346466	151.4451962	6.894665565	0.0	6.70047092	0.103477831	6.803948751	612.7280846	940.8416889	663.0391035	991.1527078	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL70"	"PEL"	2018.0	83.0	2.0	5.0	1.0	1.494084238		15.04520129	5.54097619		0.030962454	0.124462641	0.016556347	0.222564226	1.099538629		364.0723351	73.01017229	7535.054086	7901.441826	450.3967584	1.439462403	0.0	7.812694962	0.0	7.812694962	1100.509507	1593.980358	1169.189857	1662.660709	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL71"	"PEL"	2018.0	76.0	11.0	0.0	1.0	7.510727855		16.31723149	9.134539245		0.017067609		2.557839822	0.44780771	1.189408638	3.235288224	109.1442761	222.1800815	4667.104022	4734.197485	762.4324452	0.62873192	3.310943857	5.818972536	0.0	9.129916393	497.9772569	752.9376053	540.7100285	795.6703769	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL72"	"PEL"	2018.0	72.0	13.0	3.0	1.0	2.188979024		13.84679572	5.225870234		0.095144146	0.168988136	0.462386101	0.130531601	0.658330495	0.672813115	1160.215488	463.775039	11410.42888	11574.82507	2665.958526	1.133835404	2.102237151	1.532841421	0.0	3.635078572	1784.980323	2507.612141	1909.723365	2632.355183	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL78"	"PEL"	2018.0	51.0	6.0	4.0	1.0	0.941100023		8.362107597	5.464990612				0.016744858	0.054047201	0.870182853	1.25109E-4	579.8917317	93.33361026	5560.24283	4946.213126	1121.082204	2.656518837	0.82869297	2.41469834	0.207605126	3.450996435	638.7686906	894.7269911	696.0431752	952.0014757	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL79"	"PEL"	2018.0	140.0	4.0	4.0	1.0	2.238952492	0.822598162	27.13743585	4.375390727	32.33542474			0.341651848		1.894028662		1455.375953	0.01389775	14909.30871	9555.846704	120.5806931	0.822598162	1.253537355	4.106737777	1.23352337	6.593798501	2754.247626	4092.138783	2891.039834	4228.930991	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL8"	"PEL"	2018.0	90.0	5.0	6.0	1.0	1.554584339		17.54721894	6.12114434				0.015634898	0.037323811	1.499955088		1232.109403	1.46614E-4	12717.40109	13207.73639	465.6550269	2.175313923	0.0	6.930495518	0.0	6.930495518	2105.986957	3060.550786	2250.509699	3205.073528	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL80"	"PEL"	2018.0	93.0	5.0	4.0	1.0	1.855519946		18.9996157	7.654918299			0.055606503	0.060820495	0.08649786	0.776044662	0.736707302	761.3945074	49.8583254	11726.96397	11948.53397	666.5865359	5.516003589	0.781330514	8.936155207	0.577203734	10.29468946	2005.517014	2893.965469	2147.295906	3035.744361	0.0		0.0	0.0	0.0	0.0	1.0	0.0	0.0
