Schoolid	Entropie1000m	City	SUMIntersection	NbrSchools	PropIntersectionKm	SUMOnewaykm	PropOneWayKm	NbrCrossingGuard	PropCrossingGuardKm	NbrTrafSignals	Pop2016	Pop2011	Highwaykm	MajorRoadkm	MinorRoadkm	roadcovkm	ShapeAreakm	ISPH1116	OPDbPC60Less	STDMulti	SumParkkm	SumReskm	SumComkm	SumIndkm	SumOpenAreakm	SumGouvkm	CHASEYEAR	BikeClass01	BikeClass02	BikeClass03	BikeClassAll	AG112	AG117	AG012	AG017	NbrRaisedCrosswalk	SpeedHumpkm	NbrTrafficCircles	NbrMidBlockNarrowings	NbrCurbExtension	NbrDiverter	NbrCrosswalk	NbrFlashingCrosswalk	NbrSpeedActivatedSign
"PEL18"	0.603384887	"PEL"	23.0	1.0	3.3	2.006	28.98	5.0	0.722	3.0	5388.545452	5485.340633	0.0	3.885929865	3.035080201	6.921010066	0.579380272	470.7576647	93.88170616	1128.767931	0.06285077	0.376747448	0.018795176		0.076810509	0.044176356	2018.0	0.0	0.993496495	0.184225143	1.177721638	730.7945614	1037.35149	780.05078	1086.607709	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL84"	0.595575345	"PEL"	47.0	2.0	4.0	0.404	3.4	3.0	0.252	5.0	2813.470185	2635.12076	0.0	2.653448933	9.236003759	11.88945269	0.960841226	71.90888454	181.1496765	136.6837002	0.016697613	0.582203991	0.016921795	0.106289859	0.04513215	0.193595823	2018.0	0.0	2.408996005	0.0	2.408996005	374.5052834	521.4275711	409.1687356	556.0910233	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL41"	0.420278516	"PEL"	60.0	2.0	3.9	0.253	1.64	3.0	0.195	6.0	4173.745606	4109.395847	0.0	3.041197647	12.37703694	15.41823459	1.250745936	114.6729627	424.1227196	328.0880112	0.079932963	0.829766152	0.017173668	0.083156778	0.04110153	0.199614845	2018.0	0.0	2.941488561	0.0	2.941488561	541.5942982	759.7351496	594.887737	813.0285884	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL49"	0.366535284	"PEL"	64.0	1.0	4.3	0.337	2.27	5.0	0.337	5.0	4249.501909	4251.111322	0.0	4.178252475	10.67040917	14.84866164	1.184433699	179.9516873	155.5330043	348.0568619	0.128361505	0.878162751		0.053181702	0.059138243	0.065589511	2018.0	0.174178439	3.341716982	0.0	3.515895421	547.0491247	801.6787626	603.5663201	858.195958	0.0		0.0	0.0	0.0	0.0	1.0	0.0	0.0
"PEL37"	0.105623496	"PEL"	46.0	1.0	4.1			7.0	0.617	3.0	4630.581337	4843.340628	0.0	1.140521554	10.21382774	11.3543493	0.835374622	332.7080961	2.184082921	267.628957		0.761635103			0.07373946		2018.0	0.0	1.594465279	0.356381148	1.950846427	544.9677669	855.9157559	570.9916267	881.9396157	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL133"	0.107616862	"PEL"	68.0	2.0	4.3			4.0	0.255	2.0	6802.22542		0.0	1.367000216	14.30150424	15.66850446	1.213438428	593.9388154	0.0	64.56798847		1.094011071			0.119427358		2018.0	0.0	2.245592036	0.0	2.245592036	1315.577575	1867.716415	1393.170407	1945.309247	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL13"	0.201677736	"PEL"	45.0	1.0	2.9			6.0	0.392	5.0	6681.521647	6978.74565	0.0	3.642575421	11.67449715	15.31707257	1.329526367	334.4462349	27.13268085	355.7678992	0.03771289	1.025552985	0.046718181	0.142168457	0.077373845		2018.0	1.308192038	0.938634036	0.0	2.246826074	917.4183701	1313.26786	964.4332058	1360.282696	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL21"	0.549316302	"PEL"	49.0	2.0	4.4			2.0	0.179	3.0	3507.82309	3568.872026	0.0	2.744791384	8.439441304	11.18423269	0.915402043	203.128816	50.36635574	83.00812779	0.182142813	0.518071032			0.00654833	0.207802245	2018.0	0.0	5.407015196	0.102599888	5.509615084	492.872245	734.2575232	529.6674347	771.0527128	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL79"	0.029139807	"PEL"	93.0	1.0	4.1			7.0	0.308	5.0	10863.51598	5699.085373	0.0	2.593919714	20.16125128	22.75517099	1.495525652	1125.437772	0.208672453	117.7420942		1.474501571			0.018126972		2018.0	0.15656545	3.371426228	1.722071651	5.250063329	2055.120134	3008.300127	2155.890329	3109.070323	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL8"	0.009770815	"PEL"	89.0	1.0	3.8	0.366	1.58	7.0	0.301	3.0	12512.05986	12919.30843	0.0	3.775252899	19.45753595	23.23278885	1.488206485	1089.397862	0.0	448.2633067	2.29213E-4	1.482125539			0.004181171		2018.0	0.0	5.847368375	0.0	5.847368375	2073.294688	3015.586968	2202.952243	3145.244523	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL4"	0.618981209	"PEL"	22.0	1.0	3.1					3.0	771.6521262	778.0746945	0.0	2.324644849	4.783032309	7.107677158	0.668575283	15.73260786	133.2550456	39.67024685	0.03540906	0.320472144	0.055204364	0.096410157	0.132234623	0.017334131	2018.0	0.0	1.317277973	0.0	1.317277973	90.60897676	134.4386255	93.74289368	137.5725424	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL64"	0.234839136	"PEL"	50.0	1.0	3.6	2.996	21.6	6.0	0.433	8.0	10142.12913	9610.103794	0.0	3.8507295519999998	10.01780439	13.86853395	1.170636703	963.4449538	16.94927265	2380.277527	0.004671452	0.884217448	0.055474812	0.044796867	0.088807687	0.090776222	2018.0	1.722343242	2.405161069	0.289806987	4.417311298	1214.153082	1749.1011	1309.23471	1844.182729	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL46"	0.399800598	"PEL"	81.0	1.0	4.3	3.75	19.68	10.0	0.525	7.0	7644.757576	7677.018024	0.0	8.605924639	10.44827245	19.05419709	1.446954069	488.9062694	170.4451765	1092.998342	0.11005459	1.137484432	0.097286724	0.03297787	0.038485343	0.03066512	2018.0	0.011824504	3.400803161	0.519547879	3.932175544	887.019378	1226.525797	954.2976474	1293.804066	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL52"	6.51116E-5	"PEL"	122.0	1.0	5.0			7.0	0.286	6.0	10610.54355	10257.10559	0.0	5.42300104	19.01933527	24.44233631	1.407406024	1225.088602	6.120575119	138.6145038		1.404837549			0.002568478		2018.0	0.196109415	4.467231418	1.314235928	5.97757676	1720.862812	2642.194822	1806.676941	2728.008951	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL11"	0.542058813	"PEL"	69.0	1.0	4.5	4.09	26.55	11.0	0.714	7.0	5571.852221	5671.439396	0.0	4.839208214	10.56386795	15.40307616	1.285040786	258.6721993	70.45194269	587.5418593	0.033086033	0.668108826	0.060542287	0.258194164	0.197377673	0.067731797	2018.0	0.124652474	4.065707688	0.927096197	5.117456359	652.2865934	978.027231	705.0149611	1030.755599	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL78"	0.174804553	"PEL"	38.0	1.0	5.0	0.76	10.09	1.0	0.133	1.0	2757.967067	2859.026936	0.0	1.307884599	6.226650938	7.534535537	0.581966348	189.1150477	189.0497459	286.6324402	0.024996207	0.491307772		0.006259014	0.009521864	0.049881497	2018.0	1.938093633	0.165288024	0.0	2.103381657	342.0646181	526.7831122	362.3093009	547.0277951	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL61"	0.299027089	"PEL"	48.0	2.0	3.5			5.0	0.368	3.0	7442.651316	7673.317762	0.0	3.055709646	10.54523126	13.60094091	1.164424199	800.0186414	213.0446854	1102.785843	0.043510355	0.919498237	0.011338633	0.006076732	0.006534705	0.177465553	2018.0	2.000963252	1.810932835	0.061564724	3.873460811	1146.879688	1613.572202	1233.81601	1700.508525	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL119"	0.224143331	"PEL"	32.0	1.0	4.2					0.0	1917.826907	1944.258861	0.0	1.634757792	5.914339175	7.549096967	0.676408476	56.21296825	23.58463002	145.6853706	0.054782595	0.497075712			0.077586966	0.046963203	2018.0	0.0	1.602063809	0.25654432	1.858608129	227.0273914	334.1706706	237.7740314	344.9173106	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL59"	0.29648496	"PEL"	69.0	1.0	4.3	2.96	18.31	5.0	0.309	5.0	6196.938068	6195.222704	0.0	4.852288048	11.31463232	16.16692037	1.129825324	562.2478098	31.12792677	166.7707959		0.90050186		0.125153878	0.104082152		2018.0	0.203011745	1.892744773	0.0	2.095756518	816.0873267	1368.932572	853.9064164	1406.751661	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
"PEL124"	0.268993627	"PEL"	53.0	1.0	4.8	1.616	14.71	2.0	0.182	1.0	3393.027374	3501.038353	0.0	2.624609739	8.362004821	10.98661456	0.853120586	303.0033351	419.8493609	322.0466981	0.032158016	0.678369867		0.006259014	0.090160421	0.046173279	2018.0	2.429010636	0.677916657	0.0	3.106927293	433.8561049	628.7463065	464.3625748	659.2527765	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0
