"","predicted","adjacentschool","parkinglotc","parkinglotb","altparking","bikeracks","segments","Walkscore","LICOATda","SamplingQuadrant","sidewalkboth","sidewalkbothperc","sidewalkone","sidewalkoneperc","parkingsignboth","parkingsignbothperc","parkingsignone","parkingsignoneperc","mountableboth","mountablebothperc","mountableone","mountableoneperc","speedlimitsign","speedlimitsignperc","speedlimit40","speedlimit40perc","speedlimit30","speedlimit30perc","marking","markingperc","obstructions","obstructionsperc","dropoffc","dropoffcperc","dropoffb","dropoffbperc","publicspaces","publicspacesperc","graffiti","graffitiperc","garbage","garbageperc","entrance","entranceperc","device","deviceperc","bikeinfra","bikeinfraperc","enrolment","DanBehaCongestion","DanBehaAdultCrossG","DanBehaChildCrossG","DanBehaDrivDoublePark","DanBehaDrivDropOffOppSide","DanBehaDrivBlockView","DanBehaDrivParkBlock","DanBehaDrivNotFollControls","DanBehaDrivBackUp","DanBehaDrivTexting","DanBehaDrivPhone","DanBehaDrivUTurn","DanBehaTruck","DanBehaPedNotFolControlsA","DanBehaPedNotFolControlsC","DanBehaPedNotFolCrossGA","DanBehaPedNotFolCrossGC","DanBehaPedJayWalkA","DanBehaPedJayWalkC","DanBehaPedDeviceA","DanBehaPedDeviceC","DanBehaPedBetParkCarsA","DanBehaPedBetParkCarsC","ActLivClassEnv","CHASEYEAR","City","SUMIntersection","NbrTrafSignals","NbrCrossingGuard","NbrSchools","ShapeAreakm","Highwaykm","MinorRoadkm","MajorRoadkm","roadcovkm","SumComkm","SumGouvkm","SumOpenAreakm","SumParkkm","SumReskm","SumIndkm","ISPH1116","OPDbPC60Less","Pop2016","Pop2011","STDMulti","SUMOneway","BikeClass01","BikeClass02","BikeClass03","BikeClassAll","AG112","AG117","AG012","AG017","NbrRaisedCrosswalk","SpeedHumpkm","NbrTrafficCircles","NbrMidBlockNarrowings","NbrCurbExtension","NbrDiverter","NbrCrosswalk","NbrFlashingCrosswalk","NbrSpeedActivatedSign","active_t_prop","city","pop_den","child_den","road_den","multihome_den","immigrant_den","density_intersections","proportion_industrial_area","density_pre_1960_houses","proportion_government_area","proportion_commercial_area","density_major_roads","density_bicycle_class","density_curb_extensions","myid","active_t"
"195",0.731884090044019,1,0,0,0,1,4,91,0.191,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.5,1,0.5,1,1,0,0,1,0.75,1,0.25,1,0.5,0,0,0,0,1,0.5,1,1,1,1,285,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2018,"MTL",63,17,5,7,0.94510407,NA,10.43243792,5.258679664,NA,NA,0.045163528,0.003944899,0.082405628,0.769440584,0.04414942,339.1164489,3697.785775,9761.251037,9831.157901,4980.136091,10.03786624,0,0,5.264810608,5.264810608,1146.505795,1516.118119,1255.98298,1625.595304,0,5.018215708,0,1,21,0,3,0,0,0.666666666666667,"Montreal",10328.2287600349,1720.01725058702,NA,5269.40497780313,358.81386999,66.659325676166,0.0467138185110133,3912.56994057808,0.0477868305021689,NA,5.56412762459059,5.57061468161914,22.2197752253887,"PEL29",139
"197",0.731884090044019,1,0,0,1,1,4,81,0.25,4,0,0.75,1,1,1,1,1,1,1,0.75,1,1,1,1,1,0.5,1,0.5,1,0.75,0,0,1,0.5,1,0.25,1,0.25,0,0,1,0.75,1,0.5,1,0.5,0,0,405,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,4,2018,"MTL",121,18,4,5,1.28270492,2.237564026,13.0585038,9.070156875,24.3662247,NA,0.063586085,0.281133792,0.047855215,0.761964813,0.128165004,633.3169023,1568.063446,8361.832226,8199.100223,2964.689178,18.98899151,0,0.105936223,0.628633001,0.734569225,1168.266797,1612.798484,1271.28037,1715.812057,0,NA,0,0,0,0,0,0,0,0.573122529644269,"Montreal",6518.90555311817,1337.65141947066,18.9959704060385,2311.27918180902,493.735458892603,94.3319060474174,0.0999177612883873,1222.46622863191,0.0495718726953975,NA,7.0711172410565,0.572672025768795,0,"PEL3",278
"198",0.731884090044019,0,0,0,0,1,4,89,0.262,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,0.75,1,1,0,0,1,0.25,0,0,0,0,1,0.75,1,0.75,0,0.25,0,0.25,1,0.25,238,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,5,2018,"MTL",41,9,1,2,0.603209536,0.163652197,6.529540302,1.53345392,8.226646419,NA,0.031972658,0.002008931,0.002946648,0.29142685,0.27485444,313.8764729,1432.804335,5769.729486,5377.691233,3245.124167,4.120539488,0.327544406,0,0.585118669,0.912663075,406.3638981,533.4295969,456.9827846,584.0484834,0,NA,0,0,5,0,0,0,0,0.8,"Montreal",9565.05018846386,968.234831420172,13.6381239486904,5379.76270819432,520.344016743131,67.969747746163,0.45565334033446,2375.30120047704,0.0530042316837644,NA,2.54215795421377,1.51301168256067,8.28899362758085,"PEL30",229
"199",0.731884090044019,0,0,0,0,1,7,93,0.183,4,0,0.714285714285714,0,0.714285714285714,1,0.857142857142857,1,0.857142857142857,1,0.714285714285714,0,0.714285714285714,1,0.571428571428571,1,0.571428571428571,1,0.571428571428571,0,0.428571428571429,1,0.428571428571429,1,0.285714285714286,0,0,0,0.142857142857143,1,0.714285714285714,1,0.571428571428571,0,0.142857142857143,1,1,1,1,390,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2018,"MTL",77,20,4,6,0.866719011,1.219732372,8.440985485,4.676333542,14.3370514,NA,0.098380372,0.019126652,0.083151413,0.548202472,0.117858083,819.8892057,3594.120806,11464.84755,11306.08532,5979.164817,7.866073956,1.180670301,0,3.302674284,4.483344585,1069.762758,1304.861075,1194.686786,1429.785103,0,1.101030808,0,0,4,0,1,0,0,0.955801104972376,"Montreal",13227.8713221856,1649.65240735904,16.5417525380668,6898.61966925288,945.968872603857,88.8407881017392,0.135981882829613,4146.8120121805,0.113508958210679,NA,5.39544360127114,5.17277748393591,4.61510587541503,"PEL31",139
"200",0.731884090044019,0,0,0,0,1,4,78,0.218,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0.25,0,0.25,1,0.5,0,0,1,0.75,1,0.25,0,0,0,0,0,0,1,0.5,0,0.5,0,0,448,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,5,2019,"MTL",55,13,3,4,0.591216298,1.220859832,7.033763625,3.694711158,11.94933461,NA,0.081395196,0.035947241,0.025606448,0.395977747,0.05228967,487.7687203,1608.334376,7851.393172,7630.414163,3466.559309,7.957148923,0,0,0.398703006,0.398703006,1064.729122,1455.616476,1152.688231,1543.575585,0,NA,0,0,0,0,0,0,0,0.755760368663594,"Montreal",13280.0688995891,2610.84748546631,20.2114431730365,5863.43664869672,825.025835637569,93.028558559798,0.0884442295939548,2720.38233966277,0.137674141046768,NA,6.24933915133713,0.674377562575246,0,"PEL34",61
"202",0.731884090044019,0,0,0,0,1,4,94,0.223,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0.75,0,0,1,0.25,0,0,1,0.25,1,0.25,1,0.5,0,0.25,1,1,1,1,317,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2018,"MTL",67,16,2,2,0.674131869,1.151098469,5.996225726,3.373791456,10.52111565,NA,0.014712086,0.004115559,0.373489539,0.257271851,NA,426.3963364,1811.020336,5320.500738,5103.828672,2881.605781,5.962958986,2.047742966,0.093254351,1.796285322,3.937282639,533.139916,642.5230827,600.8539191,710.2370858,0,0.886745867,0,0,5,0,3,0,0,0.922077922077922,"Montreal",7892.37385541849,1053.55809220762,15.6069103595516,4274.54317695222,632.511762175718,99.3870829744143,NA,2686.4481851102,0.0218237509255033,NA,5.00464613993794,5.84052293038827,7.41694649062793,"PEL37",72
"203",0.731884090044019,0,0,0,0,0,4,90,0.076,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,0.5,1,1,0,0,1,0.5,0,0,1,0.25,0,0,1,0.25,0,0.25,1,0.75,1,0.25,555,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,4,2018,"MTL",87,14,4,6,1.201650475,1.011174826,13.34957003,4.931375429,19.29212028,NA,0.07417936,0.043944746,0.039274603,0.897764323,0.146487461,690.2313432,1946.434859,9088.334698,8763.89886,3671.996682,12.00400222,0.86880426,0,0.60442374,1.473228,1164.427846,1552.641327,1288.289144,1676.502626,0,NA,0,2,0,0,2,0,0,0.736507936507937,"Montreal",7563.20984103135,1395.16661531715,16.0546853526605,3055.79430824092,574.402754844332,72.4004207629511,0.121905216240188,1619.80118137098,0.0617312284589244,NA,4.10383512643308,1.22600375953748,0,"PEL39",118
"204",0.731884090044019,0,0,0,1,1,4,97,0.13,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,0.75,0,0.25,0,0,1,0.25,1,0.25,1,0.5,1,0.5,1,0.5,0,0.25,1,0.5,1,0.5,465,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2019,"MTL",15,8,2,2,0.333874576,NA,2.887827616,2.015836557,NA,NA,0.031383681,0.001169599,0.003460285,0.297861,NA,222.4644394,1643.925945,4607.117571,4458.554183,2341.402843,3.093819979,0.748131468,0,1.774591585,2.522723053,501.1794955,631.9251066,545.1219494,675.8675605,0,1.816395657,0,0,6,0,1,0,0,0.906166219839142,"Montreal",13798.9469764239,2024.31574334669,NA,7012.82161418604,666.311409707339,44.9270506898375,NA,4923.78295075693,0.0939984151413793,NA,6.03770607858443,7.55590043190351,17.970820275935,"PEL4",26
"205",0.731884090044019,0,0,0,0,1,4,95,0.287,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,0.5,1,0.5,0,0,1,0.25,1,0.25,0,0,1,0.25,1,1,0,0.25,1,0.75,1,0.25,179,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,2018,"MTL",36,10,2,1,0.451746906,0.157887332,3.781077121,3.974756761,7.913721214,NA,NA,0.005681619,0.057926949,0.261616441,0.126521889,283.5048479,1143.43705,5349.988806,4730.312367,2971.267452,3.61332836,0.732718613,1.130717464,0.398247768,2.261683845,465.2856615,566.0905965,545.5992724,646.4042074,0,1.07465805,0,0,7,0,0,0,0,0.733333333333333,"Montreal",11842.8897573899,1430.89902512802,17.5180418701086,6577.28345791924,627.574520455044,79.6906398734693,0.280072508122502,2531.145282487,NA,NA,8.79863637848579,5.00652868887607,15.495402197619,"PEL41",142
"207",0.731884090044019,0,0,0,0,1,6,97,0.31,4,0,0.666666666666667,0,0.833333333333333,1,1,1,1,1,0.833333333333333,0,0.833333333333333,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0,1,0.333333333333333,0,0,0,0,1,1,1,0.333333333333333,1,0.666666666666667,0,0.333333333333333,1,0.166666666666667,523,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,5,2018,"MTL",114,22,4,4,0.853492915,NA,12.37955462,6.462463056,NA,NA,0.039481791,0.01070848,0.004007186,0.666239718,0.133055712,825.6873463,3287.686543,11268.33045,10534.16186,6315.198892,12.92160611,0.359506505,0,2.241009347,2.600515853,879.0950306,1062.899742,1025.82692,1209.631631,0,1.365123258,0,1,10,1,2,0,0,0.909774436090226,"Montreal",13202.6057298906,1417.27202386911,NA,7399.23997142964,967.421441688242,133.568771335378,0.15589550851749,3852.03729898566,0.0462590729297384,NA,7.57178289640518,3.046909713363,11.7165588890682,"PEL42",188
