"","predicted","adjacentschool","parkinglotc","parkinglotb","altparking","bikeracks","segments","Walkscore","LICOATda","SamplingQuadrant","sidewalkboth","sidewalkbothperc","sidewalkone","sidewalkoneperc","parkingsignboth","parkingsignbothperc","parkingsignone","parkingsignoneperc","mountableboth","mountablebothperc","mountableone","mountableoneperc","speedlimitsign","speedlimitsignperc","speedlimit40","speedlimit40perc","speedlimit30","speedlimit30perc","marking","markingperc","obstructions","obstructionsperc","dropoffc","dropoffcperc","dropoffb","dropoffbperc","publicspaces","publicspacesperc","graffiti","graffitiperc","garbage","garbageperc","entrance","entranceperc","device","deviceperc","bikeinfra","bikeinfraperc","enrolment","DanBehaCongestion","DanBehaAdultCrossG","DanBehaChildCrossG","DanBehaDrivDoublePark","DanBehaDrivDropOffOppSide","DanBehaDrivBlockView","DanBehaDrivParkBlock","DanBehaDrivNotFollControls","DanBehaDrivBackUp","DanBehaDrivTexting","DanBehaDrivPhone","DanBehaDrivUTurn","DanBehaTruck","DanBehaPedNotFolControlsA","DanBehaPedNotFolControlsC","DanBehaPedNotFolCrossGA","DanBehaPedNotFolCrossGC","DanBehaPedJayWalkA","DanBehaPedJayWalkC","DanBehaPedDeviceA","DanBehaPedDeviceC","DanBehaPedBetParkCarsA","DanBehaPedBetParkCarsC","ActLivClassEnv","CHASEYEAR","City","SUMIntersection","NbrTrafSignals","NbrCrossingGuard","NbrSchools","ShapeAreakm","Highwaykm","MinorRoadkm","MajorRoadkm","roadcovkm","SumComkm","SumGouvkm","SumOpenAreakm","SumParkkm","SumReskm","SumIndkm","ISPH1116","OPDbPC60Less","Pop2016","Pop2011","STDMulti","SUMOneway","BikeClass01","BikeClass02","BikeClass03","BikeClassAll","AG112","AG117","AG012","AG017","NbrRaisedCrosswalk","SpeedHumpkm","NbrTrafficCircles","NbrMidBlockNarrowings","NbrCurbExtension","NbrDiverter","NbrCrosswalk","NbrFlashingCrosswalk","NbrSpeedActivatedSign","active_t_prop","city","pop_den","child_den","road_den","multihome_den","immigrant_den","density_intersections","proportion_industrial_area","density_pre_1960_houses","proportion_government_area","proportion_commercial_area","density_major_roads","density_bicycle_class","density_curb_extensions","myid","active_t"
"1",0.480497721984227,1,1,0,1,1,5,48,0.103,2,0,0.8,1,1,0,0,1,0.6,0,0.4,0,0.4,0,0.4,0,0,0,0,1,0.6,0,0,0,0,1,0.2,1,0.6,0,0,1,0.6,0,0.2,0,0.2,1,0.6,232,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,3,2018,"CAL",148,10,0,4,2.266420271,1.55841335,26.23143704,6.679451774,34.46930216,0.203689357,0.068367866,0.101797502,0.26579981,1.546593639,0.080172106,811.0594557,75.60892142,8969.90693,8569.167209,635.9928784,2.242448053,0,2.363545284,0,2.363545284,1356.525964,1862.688133,1476.725627,1982.887796,0,NA,0,0,0,0,4,4,0,0.565217391304348,"Calgary",3957.74210316353,874.898544357398,15.2086983164827,280.615597441416,357.8592488242,65.3012161485384,0.0353738920472266,33.3605035162519,0.0301655729410832,0.0898727211392825,2.94713732464671,1.0428539288334,0,"CAL100",65
"4",0.480497721984227,1,1,0,0,1,12,46,0.329,2,0,0.833333333333333,1,1,0,0.25,1,0.666666666666667,1,0.666666666666667,0,0.833333333333333,0,0,0,0,0,0,1,0.666666666666667,0,0,0,0,1,0.25,1,0.25,0,0.0833333333333333,1,0.666666666666667,0,0.0833333333333333,0,0.0833333333333333,1,0.0833333333333333,293,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,3,2018,"CAL",140,7,0,5,2.406904122,1.56026363,26.5992515,6.621709095,34.78122422,0.094197311,0.049172999,0.172424575,0.32916687,1.761941195,NA,683.5105592,95.34250456,10229.60339,9745.316254,944.8080907,1.975855255,0,2.554389454,0,2.554389454,1551.869856,2081.553205,1711.59788,2241.281229,0,NA,0,0,0,0,3,2,0,0.463235294117647,"Calgary",4250.10838466627,931.188412747253,14.4506064458848,392.540808777592,283.979138575758,58.166006165492,NA,39.6120907719315,0.0204299783072124,0.039136295517134,2.75113122889903,1.06127594807451,0,"CAL103",40
"15",0.480497721984227,0,1,0,1,1,4,60,0.092,4,1,1,1,1,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1,0.25,1,0.25,1,0.25,0,0,1,0.5,0,0,0,0,179,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,2,2018,"CAL",143,10,0,2,2.106575996,3.047584182,22.9110643,4.513306048,30.47195453,NA,0.031210432,0.15419685,0.304628386,1.433884278,0.022896662,120.1717322,580.3490901,4164.815539,3597.363515,449.2768864,1.600582011,0.525923196,5.487172012,1.273275554,7.286370761,422.3465599,549.4198149,492.8810002,619.9542551,0,NA,0,0,0,0,5,6,0,0.380952380952381,"Calgary",1977.05449359919,294.294749525856,14.465157956732,213.273524075606,57.0459990183995,67.8826684969024,0.0108691364771442,275.494020249911,0.0148157161475602,NA,2.14248432364649,3.45886916723416,0,"CAL104",46
"18",0.480497721984227,1,1,0,1,1,2,53,0.052,3,1,1,1,1,1,1,1,1,1,0.5,0,0.5,0,0,0,0,0,0,1,1,1,0.5,1,0.5,0,0,1,0.5,0,0,0,0,1,0.5,1,0.5,1,0.5,400,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,2,2018,"CAL",104,7,0,3,1.150999209,2.594696771,14.23090688,2.35100163,19.17660528,NA,0.102710569,0.059869438,0.137795138,0.713047681,0.137576387,346.7015772,131.3462828,2853.847395,2615.046714,820.5521259,2.35100163,0,0.429289635,0,0.429289635,270.1723661,348.7051117,297.4817977,376.0145433,0,NA,0,0,0,0,2,2,0,0.240963855421687,"Calgary",2479.45209057046,326.685318599554,16.6608327182612,712.904161431096,301.217910915176,90.3562740849807,0.119527785878782,114.115007006925,0.0892360031152723,NA,2.04257449667804,0.37297126847982,0,"CAL107",63
"29",0.480497721984227,0,1,0,0,1,7,27,0.033,1,0,0.285714285714286,0,0.714285714285714,0,0,0,0.142857142857143,0,0.142857142857143,0,0.714285714285714,0,0,0,0,0,0,0,0.285714285714286,1,0.285714285714286,0,0,1,0.142857142857143,0,0.142857142857143,0,0,0,0,0,0.285714285714286,0,0.142857142857143,1,0.142857142857143,374,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,2,2018,"CAL",101,3,0,2,1.830749494,2.138382534,18.44260659,2.65946267,23.2404518,NA,NA,0.243288539,0.655953763,0.844293963,NA,127.5081446,0,5251.257983,5411.748248,1.892257697,1.839000686,0,2.568000837,0,2.568000837,701.9564174,1110.956135,745.2371407,1154.236858,0,0.246762809,0,0,0,0,2,2,0,0.428571428571429,"Calgary",2868.36511505817,630.47230753461,12.6945012827626,1.03359727980348,69.6480567209705,55.168661977519,NA,0,NA,NA,1.45266333745604,1.40270465479643,0,"CAL109",34
"31",0.480497721984227,0,1,0,0,1,4,28,0.034,1,1,1,1,1,0,0.333333333333333,0,0.333333333333333,1,0.666666666666667,1,1,0,0,0,0,0,0,1,0.666666666666667,0,0,1,0.333333333333333,1,0.333333333333333,1,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0,201,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,2,2018,"CAL",108,4,0,3,1.790305012,NA,21.50773606,3.332719862,NA,NA,0.047999264,0.050542059,0.286486528,1.314429178,NA,29.39663695,7.871879945,4169.124129,4155.551196,1.954875631,0.306757899,0,0.257830594,0,0.257830594,598.0198397,857.5221718,617.2458903,876.7482224,0,NA,0,0,0,0,2,0,0,0.365853658536585,"Calgary",2328.72281597567,489.720029002522,NA,1.09192322978315,16.4199042917051,60.3249162997931,NA,4.39694906300134,0.0268106628078858,NA,1.86153746968341,0.144014898171999,0,"CAL113",93
"32",0.480497721984227,0,1,0,0,1,4,49,0.072,3,0,0.5,1,1,0,0.25,1,0.5,0,0,0,0.5,0,0,0,0,0,0,1,1,0,0,0,0,1,0.25,1,0.75,0,0,0,0,1,0.5,1,0.5,1,0.25,379,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,3,2018,"CAL",127,4,0,5,2.235574295,NA,30.55187035,3.80858585,NA,NA,0.090113151,0.04226127,0.197734525,1.896538444,0.008926909,260.9470422,1542.119222,5823.339813,5385.247085,560.4876338,0.122178932,1.537398522,0.36235698,1.717888918,3.617644419,803.6760266,1047.343525,859.2908365,1102.958335,0,0.002744704,0,0,0,0,6,1,0,0.514285714285714,"Calgary",2604.85183875314,493.366888976508,NA,250.71304275307,116.724835664654,56.8086689330985,0.00399311667698344,689.808979039097,0.0403087256824985,NA,1.70362750122782,1.61821704028852,0,"CAL122",163
"46",0.480497721984227,1,1,0,1,1,10,46,0.061,1,0,0.6,0,0.9,1,0.5,1,0.8,1,0.8,0,0.9,0,0.1,0,0,0,0,1,0.5,0,0,0,0,1,0.3,1,0.7,0,0.1,0,0.1,0,0.1,0,0.1,1,0.2,382,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,3,2018,"CAL",233,17,0,3,2.53441497,NA,33.05230149,8.155751868,NA,0.004264023,NA,0.125602388,0.272721222,2.131826515,8.0804e-07,759.0884175,29.94701515,9666.607715,9442.584266,111.8230196,2.413314943,0,6.255894554,0,6.255894554,1159.121654,1815.97783,1264.137389,1920.993565,0,NA,0,0,0,0,2,4,0,0.454545454545455,"Calgary",3814.1377120259,757.963312140632,NA,44.1218272949201,299.512284485914,91.9344317162079,3.18827030918303e-07,11.8161451476906,NA,0.00168244863231691,3.21800177340335,2.46837815750433,0,"CAL124",29
"50",0.480497721984227,1,1,0,0,1,10,67,0.035,3,0,0.6,0,0.8,0,0,1,0.6,0,0.4,0,0.8,0,0,0,0,0,0,0,0.2,0,0,1,0.2,1,0.1,0,0.2,0,0,0,0,0,0.3,0,0.1,1,0.1,505,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,2,2018,"CAL",191,6,0,3,2.868283277,NA,24.68379526,6.961272491,NA,NA,NA,0.531319951,0.020093537,2.316869813,NA,365.8960107,0.013396632,6690.995965,4983.979459,225.3292381,0.875116405,0,5.893352784,0,5.893352784,1594.471183,2053.968138,1705.406472,2164.903427,0,NA,0,0,0,0,4,0,0,0.689024390243902,"Calgary",2332.75284162248,754.773227721189,NA,78.5589205595051,127.566204368314,66.5903544226535,NA,0.00467060980602022,NA,NA,2.42698221156208,2.05466204515336,0,"CAL127",27
"52",0.480497721984227,0,1,0,1,1,4,57,0.071,3,1,1,1,1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1,0.25,0,0,0,0,1,0.25,0,0.25,0,0,0,0,223,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,2018,"CAL",38,3,0,1,0.720478115,NA,8.198230025,0.000784733,NA,NA,0.005150478,0.009322674,0.211670729,0.494334251,NA,39.79360862,445.3444818,1917.297925,1881.117958,297.4895057,0.000784733,0,2.494828725,0.833317116,3.328145841,212.028546,256.9529631,227.6362637,272.5606808,0,0.41079031,0,0,0,0,1,2,0,0.37037037037037,"Calgary",2661.14665398268,378.305288010032,NA,412.90567958473,55.2322239794889,52.7427540252212,NA,618.123538422815,0.0071486945859556,NA,0.00108918367353879,4.61935730136647,0,"CAL13",40
"55",0.59793070477151,1,1,0,1,1,8,51,0.101,4,0,0.875,1,1,0,0,1,0.625,1,0.5,0,0.75,0,0,0,0,0,0,0,0.25,0,0,1,0.125,1,0.25,1,0.375,0,0,1,0.375,0,0.125,0,0.25,1,0.5,519,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,3,2018,"CAL",171,5,0,4,2.405760537,NA,31.04519459,8.322239795,NA,NA,0.044192271,0.088726085,0.234276707,2.038565496,NA,1893.529618,69.89886251,12289.15481,11836.84401,688.8990936,1.808359029,0,4.156545185,0,4.156545185,1922.496203,2696.827972,2077.286006,2851.617775,0,0.276133816,0,0,0,0,3,3,0,0.488805970149254,"Calgary",5108.22029915108,1185.32901805596,NA,286.353975387368,787.081502451297,71.0793935514622,NA,29.0547880534961,0.0183693556862098,NA,3.45929682817804,1.72774684806462,0,"CAL131",95
"63",0.285318238275449,0,1,0,1,1,6,40,0.133,2,0,0.833333333333333,1,1,0,0.333333333333333,0,0.333333333333333,0,0.333333333333333,0,0.5,0,0.166666666666667,0,0,0,0,0,0.333333333333333,0,0,1,0.166666666666667,1,0.166666666666667,1,0.5,0,0,0,0,0,0.166666666666667,0,0.166666666666667,1,0.333333333333333,330,1,0,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,2,2018,"CAL",288,10,0,2,4.909108025,3.921969663,53.16493643,6.333339145,63.42024523,NA,0.013429219,0.203912724,0.518629454,3.621109634,0.552026985,628.066487,87.91251212,10986.62228,10667.96363,907.0882056,3.938193387,0,6.176346472,0.981712748,7.158059221,1565.233497,2129.052486,1708.279611,2272.0986,0,NA,0,0,0,0,3,1,0,0.543859649122807,"Calgary",2238.00784664949,462.833286297463,12.918893800468,184.776582829423,127.939023505192,58.6664621217008,0.112449549325206,17.9080418830262,0.00273557211037335,NA,1.29012014254871,1.45811809081142,0,"CAL132",59
"68",0.285318238275449,0,0,0,0,0,10,34,0.072,1,0,0.2,0,0.9,0,0,0,0.1,1,0.9,1,1,0,0,0,0,0,0,0,0.3,0,0,1,0.1,1,0.1,0,0,0,0,0,0.2,0,0.1,0,0,0,0,320,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,2,2018,"CAL",421,8,0,3,6.102712329,NA,65.56231913,15.33291589,NA,NA,NA,0.27570437,1.910433528,3.916574435,NA,964.3648688,20.83359775,16093.2492,16179.80961,368.2524457,7.546412882,0,16.56620221,0,16.56620221,1948.025297,3029.965817,2059.127777,3141.068297,0,NA,0,0,0,0,2,3,0,0.22,"Calgary",2637.06501837308,514.700370534211,NA,60.342422491401,158.022337742736,68.985719349643,NA,3.41382595587851,NA,NA,2.51247561139958,2.71456383930759,0,"CAL150",28
"69",0.480497721984227,1,1,0,0,1,7,44,0.229,2,0,0.714285714285714,0,0.857142857142857,0,0,1,0.714285714285714,1,0.571428571428571,0,0.714285714285714,0,0.285714285714286,0,0,0,0,0,0.285714285714286,0,0,0,0,1,0.142857142857143,1,0.285714285714286,0,0,0,0,0,0.142857142857143,0,0.285714285714286,1,0.142857142857143,242,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,2018,"CAL",159,3,0,5,2.387572366,1.538835396,29.62080837,5.844726154,37.00436992,NA,0.028458419,0.156845545,0.244192971,1.958075417,NA,1681.260328,30.14563172,11171.12712,11307.31376,514.1167033,2.181772715,0,3.792048079,0,3.792048079,1750.080499,2454.231333,1897.134491,2601.285325,0,NA,0,0,0,0,8,3,0,0.368421052631579,"Calgary",4678.86430546834,1089.51056815842,15.498742759364,215.33031233785,704.171463844125,66.5948401247328,NA,12.6260599047325,0.0119193953679727,NA,2.44797864024198,1.58824424884469,0,"CAL153",110
"74",0.480497721984227,0,1,0,1,1,9,38,0.084,3,1,1,1,1,0,0.111111111111111,1,0.555555555555556,0,0.444444444444444,0,0.555555555555556,0,0.111111111111111,0,0,0,0,1,0.666666666666667,0,0,0,0,1,0.111111111111111,1,0.666666666666667,0,0,1,0.444444444444444,0,0.222222222222222,0,0.222222222222222,1,0.111111111111111,242,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,3,2018,"CAL",110,9,0,7,2.157028525,NA,26.91636176,0.21373206,NA,NA,0.072497555,0.079808433,0.460299826,1.402298388,0.142124353,511.6274162,143.2586767,7030.594029,6770.339819,1040.939211,0.21373206,0,3.545893125,0,3.545893125,924.3554474,1256.898534,1004.904156,1337.447242,0,NA,0,0,0,0,4,7,0,0.353293413173653,"Calgary",3259.38852802144,620.041518458825,NA,482.580178674271,237.190843918024,50.9960803601334,0.0658889538792724,66.4148271752688,0.0336099194608472,NA,0.0990863391572441,1.6438786431904,0,"CAL157",40
"77",0.480497721984227,0,1,0,0,1,5,31,0.049,1,0,0.8,1,1,0,0,0,0.2,1,1,1,1,0,0,0,0,0,0,1,0.8,0,0,1,0.2,1,0.2,0,0.2,0,0,0,0,0,0.4,1,1,1,1,489,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,2,2018,"CAL",101,2,0,1,1.864484868,3.505184523,17.24285098,3.093076674,23.84111218,NA,NA,0.468903438,0.054488195,1.203306856,0.003265906,329.852263,0,6332.641601,6203.420306,7.945660703,4.075794597,0,3.095198109,0,3.095198109,1355.576881,2016.658077,1413.467832,2074.549028,0,NA,0,0,0,0,2,1,0,0.684210526315789,"Calgary",3396.45642058383,1112.66605785078,12.7869700576192,4.26158497683232,176.913349451759,54.170458411036,0.00175163985294409,0,NA,NA,1.65894436961448,1.66008218254952,0,"CAL163",97
"83",0.480497721984227,0,1,0,1,1,5,36,0.028,1,0,0.8,0,0.8,0,0.2,0,0.4,1,1,1,1,0,0,0,0,0,0,0,0.4,0,0,1,0.2,0,0,1,0.8,0,0,0,0,0,0.2,0,0.2,1,0.2,451,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,2,2018,"CAL",166,2,0,2,1.860349884,1.446294602,22.87729186,5.637201313,29.96078778,NA,NA,0.410177797,0.205005504,1.228100089,0.017066464,383.2253262,0.071184734,7345.216826,7246.970011,212.4770822,1.103287161,0,4.412052347,0,4.412052347,1110.131229,1722.720141,1196.251686,1808.840597,0,NA,0,0,0,0,4,0,0,0.49,"Calgary",3948.29859112674,972.312043318836,16.1049209278742,114.213505764381,205.996371701873,89.2305267023631,0.00917379260040312,0.0382641645059495,NA,NA,3.03018338726652,2.37162502868197,0,"CAL165",57
"92",0.480497721984227,1,1,0,0,1,5,59,0.09,4,1,1,1,1,0,0,1,0.6,0,0.4,0,0.4,0,0,0,0,0,0,1,0.6,0,0,1,0.4,1,0.4,0,0,0,0,1,0.6,1,0.6,0,0.4,0,0,585,1,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,3,2018,"CAL",136,5,0,2,1.833808883,1.643289757,20.32819453,4.353861648,26.32534593,NA,NA,0.791360734,0.127053082,0.289599056,0.587484203,623.8917276,0.000268977,8018.359113,7873.125972,825.4244114,2.649193988,0,4.148946528,0,4.148946528,1549.141848,1984.776466,1677.339336,2112.973954,0,NA,0,0,0,0,3,3,0,0.668367346938776,"Calgary",4372.51623510649,1152.23236924412,14.3555559000965,450.114741537109,340.21632972971,74.1625810959713,0.320362829761688,0.000146676680701846,NA,NA,2.37421777610617,2.26247487754153,0,"CAL174",20
"94",0.480497721984227,0,1,0,0,1,7,37,0.021,1,0,0.571428571428571,0,0.714285714285714,0,0,0,0.285714285714286,1,0.857142857142857,0,0.857142857142857,0,0.285714285714286,0,0.142857142857143,0,0.142857142857143,0,0.285714285714286,0,0,0,0,1,0.142857142857143,0,0.142857142857143,0,0,0,0.142857142857143,0,0.285714285714286,0,0.428571428571429,1,0.428571428571429,575,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,1,2,2018,"CAL",403,9,0,2,7.195617266,4.587104546,62.06227723,9.78972021,76.43910199,NA,NA,2.26359069,0.278968898,2.162058827,0.051864749,759.7052532,0,12546.37592,9929.81405,165.5545608,23.18546833,0,19.14843698,0,19.14843698,2570.918753,3733.705721,2723.48736,3886.274329,0,NA,0,0,0,0,4,3,0,0.353211009174312,"Calgary",1743.6135714559,540.089082748054,10.6230083069012,23.007694083767,105.578885746145,56.0063139967456,0.00720782485820446,0,NA,NA,1.36051152362667,2.66112499763964,0,"CAL177",84
"104",0.59793070477151,1,1,0,1,1,3,57,0.13,4,1,1,1,1,1,0.666666666666667,1,0.666666666666667,1,1,1,1,0,0,0,0,0,0,1,0.666666666666667,0,0,1,0.333333333333333,1,0.333333333333333,1,0.333333333333333,0,0,1,1,1,0.666666666666667,1,0.666666666666667,1,0.333333333333333,524,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,3,2018,"CAL",165,11,0,4,2.392501737,NA,31.34439585,6.248524869,NA,NA,0.030140366,0.052737809,0.21006669,2.079151058,0.02040581,1310.806027,85.85676124,11505.91504,10905.93198,454.0338438,1.129130966,0,2.773767895,0,2.773767895,2012.00367,2730.006714,2163.004427,2881.007471,0,NA,0,0,0,0,7,6,0,0.556390977443609,"Calgary",4809.15639978906,1204.18197673392,NA,189.773673631402,547.8809092292,68.965467171153,0.00852906799791385,35.8857675679924,0.0125978449812093,NA,2.61171173770395,1.15935878001831,0,"CAL178",35
"108",0.285318238275449,1,1,0,1,1,13,55,0.196,4,0,0.461538461538462,0,0.846153846153846,0,0.230769230769231,0,0.230769230769231,1,0.769230769230769,0,0.923076923076923,0,0,0,0,0,0,0,0.461538461538462,0,0,1,0.153846153846154,1,0.153846153846154,0,0.153846153846154,0,0,0,0,0,0.0769230769230769,1,1,1,1,297,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,2,2018,"CAL",631,10,0,6,10.77431152,4.236753606,84.02966523,23.89812222,112.1645411,NA,NA,3.550600948,2.289904967,4.87969366,0.054111943,1041.997526,10.10924338,21525.63225,20190.94339,905.4961043,7.706058879,0,19.29664626,3.141601773,22.43824803,3524.259628,4763.558411,3773.893442,5013.192224,0,0.739425341,0,0,0,0,4,2,0,0.293478260869565,"Calgary",1997.86614764597,465.291189575703,10.4103673716685,84.0421313806601,96.7112862910799,58.5652270057994,0.00502231097546732,0.938272794622148,NA,NA,2.21806490146853,2.08256908001487,0,"CAL180",110
"110",0.480497721984227,1,1,0,0,1,5,39,0.082,4,0,0.8,1,1,0,0,1,0.6,0,0.2,0,0.8,0,0.4,1,0.6,1,0.6,1,0.6,0,0,1,0.4,1,0.4,1,0.6,0,0,1,1,0,0.4,1,1,1,1,464,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,3,2018,"CAL",173,5,0,3,2.19693308,NA,29.75401064,3.323000017,NA,NA,NA,0.123028168,0.262960016,1.653543577,0.150151367,660.4454978,43.83890559,8901.410615,8790.188426,174.2886023,1.71017543,0,3.277063799,0,3.277063799,1388.569731,1850.477355,1518.529467,1980.43709,0,NA,0,0,0,0,6,4,0,0.440944881889764,"Calgary",4051.74408635151,901.45535520818,NA,79.3326860461312,300.621581882685,78.7461400508385,0.0683458992751841,19.9545930593389,NA,NA,1.51256314871457,1.49165390099183,0,"CAL181",133
"113",0.480497721984227,1,0,0,0,1,8,51,0.202,4,1,1,1,1,0,0,0,0.375,0,0.25,0,0.5,0,0.125,0,0.25,0,0.125,1,0.5,0,0,1,0.125,1,0.25,0,0.125,0,0,1,0.75,0,0.25,0,0.125,0,0,155,1,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,3,2018,"CAL",164,6,0,3,2.244104801,NA,30.869975,1.524355959,NA,NA,0.026762168,0.080569185,0.508898049,1.627875401,NA,286.0463154,80.73439212,7073.921267,6918.443243,302.4651622,1.524355959,0,3.703315207,0,3.703315207,936.356579,1347.732175,1018.687653,1430.063249,0,NA,0,0,0,0,5,1,0,0.293478260869565,"Calgary",3152.22411352971,637.253326298641,NA,134.782102005761,127.465667054647,73.0803659111284,NA,35.9762129130617,0.0119255428659457,NA,0.679271288186153,1.65024164885248,0,"CAL182",63
"116",0.285318238275449,0,1,0,0,1,5,77,0.04,3,1,1,1,1,1,0.6,1,0.6,0,0.2,0,0.4,0,0,0,0,0,0,1,0.8,0,0,1,0.2,1,0.4,1,0.4,0,0,0,0.2,1,0.6,0,0.4,1,0.6,110,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2018,"CAL",331,20,0,6,6.082771881,3.020100898,55.86688731,15.59190264,74.47889084,0.337675691,0.080276588,0.343275431,1.655947751,3.443883906,0.021310087,297.6022846,187.854654,10188.19437,10267.59695,869.3280421,8.161522913,0,0.77836113,0,0.77836113,1141.194657,1640.457662,1220.856123,1720.119128,0,NA,0,0,0,0,12,6,0,0.25,"Calgary",1674.92626212461,282.785407977064,12.2442354073215,142.916430059692,48.9254389975701,54.4159811473292,0.00350335133667657,30.8830674033294,0.0131973694839272,0.0555134563002035,2.56328906377411,0.127961584821431,0,"CAL183",80
"120",0.480497721984227,1,1,1,1,1,13,43,0.044,1,0,0.461538461538462,0,0.692307692307692,0,0.461538461538462,1,0.538461538461538,0,0.384615384615385,0,0.461538461538462,1,0.538461538461538,0,0.384615384615385,0,0.384615384615385,0,0.461538461538462,0,0,1,0.0769230769230769,1,0.153846153846154,1,0.384615384615385,0,0,1,0.615384615384615,0,0.230769230769231,0,0.384615384615385,1,0.307692307692308,147,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2018,"CAL",253,5,0,2,2.242959163,NA,34.13940648,2.851769776,NA,NA,NA,0.344368104,0.323582906,1.311086898,0.263921259,157.4111526,8.714026126,5717.756054,5918.11419,1.05344e-05,1.747357655,0,5.539181777,0,5.539181777,636.7002146,1015.362394,688.3111432,1066.973323,0,NA,0,0,0,0,2,3,0,0.382978723404255,"Calgary",2549.20203110269,475.698951902853,NA,4.69665260686692e-06,70.1801241844544,112.797416989798,0.117666546655714,3.88505786005699,NA,NA,1.27143187581967,2.46958654815241,0,"CAL191",111
"132",0.480497721984227,0,1,0,0,1,3,55,0.022,NA,0,0.666666666666667,0,0.666666666666667,1,0.666666666666667,1,1,0,0.333333333333333,0,0.666666666666667,1,0.666666666666667,1,0.666666666666667,1,0.666666666666667,1,0.666666666666667,0,0,1,0.333333333333333,1,0.333333333333333,1,0.333333333333333,0,0,0,0,1,0.666666666666667,0,0,1,0.333333333333333,381,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,3,2019,"LAV",127,4,1,2,1.397910778,0.572010375,18.34601262,4.300548688,23.21857168,0.00010347,0.021542676,0.049516593,0.050834396,1.225462382,0.050451261,144.8464125,211.1655683,5500.239443,5452.324028,382.867453,2.086559946,0.136974522,0,4.16472572,4.301700242,759.9531993,1120.743578,797.0096549,1157.800034,0,NA,0,0,0,0,0,0,0,0.424870466321244,"Laval",3934.61408951237,828.236002054775,16.6094804084843,273.885471823725,103.616350041476,90.8498610917785,0.0360904728642131,151.057972814342,0.0154106230090172,7.40175994265065e-05,3.07641142459236,3.07723519247378,0,"CAL194",46
"142",0.480497721984227,0,1,0,0,1,4,34,0.022,NA,0,0.75,0,0.75,1,1,1,1,0,0.25,0,0.5,1,0.5,1,0.5,0,0.25,1,0.5,1,0.5,1,0.25,1,0.25,0,0,0,0,0,0,0,0.25,0,0.25,1,0.25,702,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,2,2019,"LAV",133,2,4,1,9.479718395,NA,19.7486754,16.54233637,NA,NA,NA,7.510873301,0.078697262,1.755439756,0.129394726,161.5298653,190.8304621,8180.749614,8181.048281,515.4053028,2.712362085,0.043679104,0,3.658147995,3.701827099,1185.764296,1732.333312,1254.90947,1801.478487,0,NA,0,0,0,0,0,0,0,0.497041420118343,"Laval",862.973906304524,190.035021288204,NA,54.3692630228179,17.0395214888659,14.0299526270896,0.0136496381652274,20.1303935569069,NA,NA,1.74502402716152,0.390499690471027,0,"CAL196",30
